Stkcd,Reptdt,S0301a,S0302a,S0303a,S0304a,S0305a,S0306a
9,2018/12/31,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,22890683,3,1.07,流通A股,4
9,2018/12/31,市房地产建设开发公司,18587078,3,0.86,境内法人持有股份,5
9,2018/12/31,香港中央结算有限公司,16011399,3,0.74,流通A股,6
9,2018/12/31,欧阳学荣,14907933,3,0.69,流通A股,7
9,2018/12/31,聂仁和,13123728,3,0.61,流通A股,8
9,2018/12/31,吴海涛,12783229,3,0.59,流通A股,9
9,2018/12/31,王世宪,9497688,3,0.44,流通A股,10
10,2018/12/31,佳源创盛控股集团有限公司,110744600,3,13.51,"境内法人持有股份,流通A股",1
10,2018/12/31,深圳五岳乾坤投资有限公司,42855424,1,5.23,境内法人持有股份,2
10,2018/12/31,江阴鑫诚业展投资管理企业(有限合伙),39121964,3,4.77,流通A股,3
10,2018/12/31,保达投资管理(平潭)有限公司,38000000,3,4.63,境内法人持有股份,4
10,2018/12/31,信达投资有限公司,28798232,3,3.51,流通A股,5
10,2018/12/31,王仁年,27713874,1,3.38,境内自然人持有股份,6
10,2018/12/31,新余瑞达投资有限公司,22624848,1,2.76,"境内法人持有股份,流通A股",7
10,2018/12/31,刘艳,16763357,3,2.04,流通A股,8
10,2018/12/31,博正资本投资有限公司,15110828,3,1.84,国有法人股,9
10,2018/12/31,拉萨鑫宏雅投资咨询有限公司,14700000,3,1.79,流通A股,10
11,2018/12/31,深圳市投资控股有限公司,380378897,3,63.82,"国有法人股,流通A股",1
11,2018/12/31,深圳市免税商品企业有限公司,1730300,3,0.29,境内法人持有股份,2
11,2018/12/31,杨耀初,1410620,3,0.24,流通B股,3
11,2018/12/31,李京,1176740,3,0.2,流通B股,4
11,2018/12/31,苏志芬,1150000,3,0.19,流通A股,5
11,2018/12/31,麦富容,1130500,3,0.19,流通B股,6
11,2018/12/31,武汉兴开源电力工程有限公司,1000000,3,0.17,流通A股,7
11,2018/12/31,陈丽英,846621,3,0.14,流通B股,8
11,2018/12/31,曹益凡,820460,3,0.14,流通B股,9
11,2018/12/31,张少明,785000,3,0.13,流通A股,10
12,2018/12/31,前海人寿保险股份有限公司-海利年年,423988067,3,14.81,流通A股,1
12,2018/12/31,前海人寿保险股份有限公司-万能型保险产品,107659097,3,3.76,流通A股,2
12,2018/12/31,深圳市钜盛华股份有限公司,78757679,1,2.75,流通A股,3
12,2018/12/31,前海人寿保险股份有限公司-自有资金,58877419,3,2.06,流通A股,4
12,2018/12/31,中央汇金资产管理有限责任公司,52650444,3,1.84,流通A股,5
12,2018/12/31,中国银河国际证券(香港)有限公司,37313064,3,1.3,流通B股,6
12,2018/12/31,招商证券香港有限公司,29078493,3,1.02,流通B股,7
12,2018/12/31,深国际控股(深圳)有限公司,26450000,3,0.92,流通A股,8
12,2018/12/31,VANGUARD EMERGING MARKETS STOCK INDEX FUND,17563848,3,0.61,流通B股,9
12,2018/12/31,NORGES BANK,14166909,3,0.49,流通B股,10
14,2018/12/31,深业沙河(集团)有限公司,68613391,3,34.02,流通A股,1
14,2018/12/31,林奇,1900000,3,0.94,流通A股,2
14,2018/12/31,上海中汇金凯资产管理有限公司-中汇金凯4期证券投资基金,1822900,3,0.9,流通A股,3
14,2018/12/31,张丽萍,1440000,3,0.71,流通A股,4
14,2018/12/31,上海中汇金凯资产管理有限公司-中汇金凯10期证券投资私募基金,1298600,3,0.64,流通A股,5
14,2018/12/31,张坤茂,1144800,3,0.57,流通A股,6
14,2018/12/31,任诚康,886000,3,0.44,流通A股,7
14,2018/12/31,陈忠民,749647,3,0.37,流通A股,8
14,2018/12/31,支绍环,640050,3,0.32,流通A股,9
14,2018/12/31,郭瑜,626463,3,0.31,流通A股,10
16,2018/12/31,华侨城集团有限公司,523746932,3,21.75,流通A股,1
16,2018/12/31,中信证券经纪(香港)有限公司,182100202,3,7.56,流通B股,2
16,2018/12/31,HOLY TIME GROUP LIMITED,56139100,3,2.33,流通B股,3
16,2018/12/31,国元证券经纪(香港)有限公司,54203779,3,2.25,流通B股,4
16,2018/12/31,"GAOLING FUND,L.P.",52801250,3,2.19,流通B股,5
16,2018/12/31,张小玉,23835278,3,0.99,流通A股,6
16,2018/12/31,招商证券香港有限公司,22475124,3,0.93,流通B股,7
16,2018/12/31,NAM NGAI,21712140,3,0.9,流通B股,8
16,2018/12/31,云南国际信托有限公司-聚利48号单一资金信托,19530380,3,0.81,流通A股,9
16,2018/12/31,云南国际信托有限公司-聚利49号单一资金信托,17408616,3,0.72,流通A股,10
17,2018/12/31,深圳市国晟能源投资发展有限公司,63508747,3,11.52,流通A股,1
17,2018/12/31,大华继显(香港)有限公司,15907850,3,2.89,流通B股,2
17,2018/12/31,国信证券(香港)经纪有限公司,13909425,3,2.52,流通B股,3
17,2018/12/31,申万宏源证券(香港)有限公司,6631116,3,1.2,流通B股,4
17,2018/12/31,李惠丽,3891124,3,0.71,流通B股,5
17,2018/12/31,徐洪波,3137419,3,0.57,流通B股,6
17,2018/12/31,招商证券香港有限公司,3057352,3,0.55,流通B股,7
17,2018/12/31,深圳中华自行车(集团)股份有限公司破产企业财产处置专用账户,2602402,3,0.47,"流通A股,流通B股",8
17,2018/12/31,葛志琼,2196816,3,0.4,流通B股,9
17,2018/12/31,卓润科技有限公司,2000000,3,0.36,流通A股,10
18,2018/12/31,陈略,583454556,1,34.36,"境内自然人持有股份,流通A股",1
18,2018/12/31,STYLE-SUCCESS LIMITED,92970910,3,5.47,流通B股,2
18,2018/12/31,华联控股股份有限公司,87935921,3,5.18,流通A股,3
18,2018/12/31,何飞燕,54800458,1,3.23,流通A股,4
18,2018/12/31,九泰基金-交通银行-九泰慧通定增2号特定客户资产管理计划,40696772,3,2.4,流通A股,5
18,2018/12/31,富冠投资有限公司,23235313,3,1.37,流通B股,6
18,2018/12/31,青海合一实业发展有限公司,13357084,1,0.79,流通A股,7
18,2018/12/31,黄怀岸,12300000,3,0.72,流通A股,8
18,2018/12/31,张序宝,5852820,3,0.34,流通A股,9
18,2018/12/31,陈立红,4775760,3,0.28,流通B股,10
19,2018/12/31,深圳市福德国有资本运营有限公司,735237253,3,63.79,"国有法人股,流通A股",1
19,2018/12/31,深圳市农产品集团股份有限公司,94832294,3,8.23,"境内法人持有股份,流通A股",2
19,2018/12/31,孙慧明,3403262,3,0.3,流通B股,3
19,2018/12/31,胡祥主,2630000,3,0.23,流通A股,4
19,2018/12/31,中海信托股份有限公司-中海-浦江之星353号集合资金信托,2108025,3,0.18,流通A股,5
19,2018/12/31,华润深国投信托有限公司-华润信托·运晟9号集合资金信托计划,2091200,3,0.18,流通A股,6
19,2018/12/31,蔡运生,1611590,3,0.14,流通A股,7
19,2018/12/31,中央汇金资产管理有限责任公司,1472625,3,0.13,流通A股,8
19,2018/12/31,林俊波,1457900,3,0.13,流通A股,9
19,2018/12/31,李倩,1279191,3,0.11,流通A股,10
20,2018/12/31,武汉中恒新科技产业集团有限公司,116681094,1,41.21,流通A股,1
20,2018/12/31,赛格(香港)有限公司,16569560,2,5.85,流通B股,2
20,2018/12/31,GOOD HOPE CORNER INVESTMENTS LTD,12700000,2,4.49,流通B股,3
20,2018/12/31,长江证劵经纪(香港)有限公司,5355249,2,1.89,流通B股,4
20,2018/12/31,国元证劵经纪(香港)有限公司,3845117,2,1.36,流通B股,5
20,2018/12/31,李森壮,1022260,2,0.36,流通B股,6
20,2018/12/31,LI SHERYN ZHAN MING,1009900,2,0.36,流通B股,7
20,2018/12/31,韩亚明,864200,2,0.31,流通B股,8
20,2018/12/31,BINGHU LIU,840313,2,0.3,流通B股,9
20,2018/12/31,吴敬民,788352,2,0.28,流通B股,10
21,2018/12/31,中国电子信息产业集团有限公司,654839851,3,44.51,流通A股,1
21,2018/12/31,博旭(香港)有限公司,106649381,3,7.25,流通A股,2
21,2018/12/31,柴长茂,17909900,3,1.22,流通A股,3
21,2018/12/31,香港中央结算有限公司,16407043,3,1.12,流通A股,4
21,2018/12/31,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,7863764,3,0.53,流通A股,5
21,2018/12/31,中央汇金资产管理有限责任公司,3993100,3,0.27,流通A股,6
21,2018/12/31,中信银行股份有限公司-建信中证500指数增强型证券投资基金,3790596,3,0.26,流通A股,7
21,2018/12/31,周淑芳,3008600,3,0.2,流通A股,8
21,2018/12/31,彭伟燕,2758175,3,0.19,流通A股,9
21,2018/12/31,龙力控股有限公司,2598900,3,0.18,流通A股,10
23,2018/12/31,宁波华旗同德投资管理合伙企业(有限合伙),21000000,3,15.13,流通A股,1
23,2018/12/31,深圳市投资控股有限公司,12358708,3,8.91,流通A股,2
23,2018/12/31,深圳市东部开发(集团)有限公司,10805839,3,7.79,流通A股,3
23,2018/12/31,陕西恒通果汁集团股份有限公司,10000000,3,7.21,流通A股,4
23,2018/12/31,佳兆业捷信物流(深圳)有限公司,4642239,3,3.35,流通A股,5
23,2018/12/31,叶跃平,1711000,3,1.23,流通A股,6
23,2018/12/31,肖小华,1581842,3,1.14,流通A股,7
23,2018/12/31,魏力军,1133200,3,0.82,流通A股,8
23,2018/12/31,叶光荣,1128676,3,0.81,流通A股,9
23,2018/12/31,深圳市睿鸿置业发展有限公司,1040259,3,0.75,流通A股,10
25,2018/12/31,深圳市特发集团有限公司,145925256,3,49.09,流通A股,1
25,2018/12/31,深圳远致富海珠宝产业投资企业(有限合伙),65001600,3,21.87,流通A股,2
25,2018/12/31,GUOTAIJUNAN SECURITIES(HONGKONG)LIMITED,1197304,3,0.4,流通B股,3
25,2018/12/31,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,778841,3,0.26,流通A股,4
25,2018/12/31,李光鑫,761161,3,0.26,流通B股,5
25,2018/12/31,钟玉剑,312392,3,0.11,流通A股,6
25,2018/12/31,何杏,300100,3,0.1,流通B股,7
25,2018/12/31,黄楚云,266500,3,0.09,流通B股,8
25,2018/12/31,丁秉方,265600,3,0.09,流通A股,9
25,2018/12/31,冯伟勇,226200,3,0.08,流通A股,10
26,2018/12/31,中航国际控股股份有限公司,162977327,3,37.15,流通A股,1
26,2018/12/31,万忠波,18389227,3,4.19,流通A股,2
26,2018/12/31,莫家栋,12703968,3,2.9,流通A股,3
26,2018/12/31,杨祖贵,11069727,3,2.52,流通A股,4
26,2018/12/31,全国社保基金一一四组合,9657744,3,2.2,流通A股,5
26,2018/12/31,西藏自治区投资有限公司,4976551,3,1.13,流通A股,6
26,2018/12/31,泰达宏利基金-民生银行-泰达宏利价值成长定向增发351号资产管理计划,4893559,3,1.12,流通A股,7
26,2018/12/31,深圳市赫利丰原商贸有限公司,2704000,3,0.62,流通A股,8
26,2018/12/31,深圳融利源商务资讯有限公司,1630500,3,0.37,流通A股,9
26,2018/12/31,中国建设银行股份有限公司-景顺长城量化精选股票型证券投资基金,1376533,3,0.31,流通A股,10
27,2018/12/31,华能国际电力股份有限公司,991741659,3,25.02,流通A股,2
27,2018/12/31,中国证券金融股份有限公司,90572469,3,2.28,流通A股,3
27,2018/12/31,中央汇金资产管理有限责任公司,35275900,3,0.89,流通A股,5
27,2018/12/31,香港中央结算有限公司,13076916,3,0.33,流通A股,7
27,2018/12/31,广东电力发展股份有限公司,12600000,3,0.32,流通A股,9
27,2018/12/31,深圳市人民政府国有资产监督管理委员会,1896000775,3,47.82,流通A股,1
27,2018/12/31,深圳市远致投资有限公司,37842373,3,0.95,流通A股,4
27,2018/12/31,陈重孚,16138188,3,0.41,流通A股,6
27,2018/12/31,中证500交易型开放式指数证券投资基金,12996342,3,0.33,流通A股,8
27,2018/12/31,朱武广,6345255,3,0.16,流通A股,10
28,2018/12/31,国药控股股份有限公司,239999991,3,56.06,"国有法人股,流通A股",1
28,2018/12/31,HTHK/CMG FSGUFP-CMG FIRST STATE CHINA GROWTHFD,11469644,3,2.68,流通B股,2
28,2018/12/31,中华联合财产保险股份有限公司-传统保险产品,7400422,3,1.73,流通A股,3
28,2018/12/31,中国医药对外贸易有限公司,5323043,3,1.24,国有法人股,4
28,2018/12/31,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001深,5013800,3,1.17,流通A股,5
28,2018/12/31,GUOTAI JUNAN SECURITIES(HO NGKONG) LIMITED,4245498,3,0.99,流通B股,6
28,2018/12/31,新华人寿保险股份有限公司-分红-个人分红-018L-FH002深,4199772,3,0.98,流通A股,7
28,2018/12/31,北京昊青财富投资管理有限公司-昊青价值稳健8号投资基金,4118716,3,0.96,流通A股,8
28,2018/12/31,中央汇金资产管理有限责任公司,3804400,3,0.89,流通A股,9
28,2018/12/31,中国银行股份有限公司-嘉实沪港深精选股票型证券投资基金,3554700,3,0.83,流通A股,10
29,2018/12/31,深圳市投资控股有限公司,642884262,3,63.55,流通A股,1
29,2018/12/31,山金金控资本管理有限公司-山金金控稳健一号基金,10300000,3,1.02,流通A股,2
29,2018/12/31,卢志高,3246949,3,0.32,流通A股,3
29,2018/12/31,谭石庆,1286701,3,0.13,流通A股,4
29,2018/12/31,杨水莲,1273700,3,0.13,流通A股,5
29,2018/12/31,杨剑雄,1255750,3,0.12,流通B股,6
29,2018/12/31,中央汇金资产管理有限责任公司,1165500,3,0.12,流通A股,7
29,2018/12/31,彭伟,1129082,3,0.11,流通A股,8
29,2018/12/31,吴浩源,1109300,3,0.11,流通B股,9
29,2018/12/31,GUOTAI JUNAN SECURITIES(H ONGKONG)LIMITED,1015683,3,0.1,流通B股,10
30,2018/12/31,一汽股权投资(天津)有限公司,441995373,3,24.41,流通A股,1
30,2018/12/31,吉林省天亿投资有限公司,324495380,3,17.92,流通A股,2
30,2018/12/31,宁波华翔电子股份有限公司,252568785,3,13.95,流通A股,3
30,2018/12/31,吉林省国有资本运营有限责任公司,181657489,1,10.03,流通A股,4
30,2018/12/31,中国证券金融股份有限公司,42493825,3,2.35,流通A股,5
30,2018/12/31,中央汇金资产管理有限责任公司,35004200,3,1.93,流通A股,6
30,2018/12/31,叶凡,9355063,3,0.52,流通A股,7
30,2018/12/31,工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划,8509200,3,0.47,流通A股,8
30,2018/12/31,南方基金-农业银行-南方中证金融资产管理计划,8509200,3,0.47,流通A股,9
30,2018/12/31,中欧基金-农业银行-中欧中证金融资产管理计划,8509200,3,0.47,流通A股,10
31,2018/12/31,中央汇金资产管理有限责任公司,65864600,3,3.63,流通A股,2
31,2018/12/31,洪卓斌,16703554,3,0.92,流通A股,4
31,2018/12/31,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,11539190,3,0.64,流通A股,5
31,2018/12/31,全国社保基金四零七组合,6004769,3,0.33,流通A股,7
31,2018/12/31,中国建设银行股份有限公司-融通领先成长混合型证券投资基金(LOF),4156900,3,0.23,流通A股,9
31,2018/12/31,中粮集团有限公司,857354140,3,47.27,流通A股,1
31,2018/12/31,香港中央结算有限公司,17831472,3,0.98,流通A股,3
31,2018/12/31,张忱业,7903778,3,0.44,流通A股,6
31,2018/12/31,江彩虹,5196937,3,0.29,流通A股,8
31,2018/12/31,陈庆振,3748830,3,0.21,流通A股,10
32,2018/12/31,中国中电国际信息服务有限公司,202650154,2,49.04,流通A股,1
32,2018/12/31,中国电子进出口有限公司,38391238,2,9.29,流通A股,2
32,2018/12/31,深圳市龙岗区城市建设投资集团有限公司,11298170,2,2.73,流通A股,3
32,2018/12/31,吴安,6793400,2,1.64,流通A股,4
32,2018/12/31,中国人民人寿保险股份有限公司-万能-个险万能,5920985,2,1.15,流通A股,5
32,2018/12/31,中国人民人寿保险股份有限公司-分红-个险分红,4674095,2,1.13,流通A股,6
32,2018/12/31,中国人民人寿保险股份有限公司-分红-团险分红,4204687,2,1.02,流通A股,7
32,2018/12/31,民生证券股份有限公司转融通担保证券明细账户,3156840,2,0.76,流通A股,8
32,2018/12/31,吴绮绯,2662020,2,0.64,流通A股,9
32,2018/12/31,中国人民人寿保险股份有限公司-自有资金,1999923,2,0.48,流通A股,10
34,2018/12/31,郭为,154777803,1,23.66,境内自然人持有股份,1
34,2018/12/31,中国希格玛有限公司,80185746,1,12.26,流通A股,2
34,2018/12/31,王晓岩,64603000,1,9.88,境内自然人持有股份,3
34,2018/12/31,中信建投基金-中信证券-中信建投基金定增16号资产管理计划,29609700,3,4.53,境内法人持有股份,4
34,2018/12/31,王廷月,26917900,1,4.12,境内自然人持有股份,5
34,2018/12/31,深圳市宝安建设投资集团有限公司,26261759,3,4.02,流通A股,6
34,2018/12/31,钱学宁,13729000,1,2.1,"境内自然人持有股份,流通A股",7
34,2018/12/31,全国社保基金四一三组合,9000006,3,1.38,流通A股,8
34,2018/12/31,张明,6729500,1,1.03,境内自然人持有股份,9
34,2018/12/31,郝峻晟,5804000,1,0.89,流通A股,10
35,2018/12/31,南通乾创投资有限公司,403070243,1,29.82,流通A股,1
35,2018/12/31,严圣军,93901228,1,6.95,"境内自然人持有股份,流通A股",2
35,2018/12/31,西部信托有限公司-西部信托-中国天楹定增事务管理类单一资金信托,22727272,3,1.68,流通A股,6
35,2018/12/31,上海并购股权投资基金合伙企业(有限合伙),15151515,3,1.12,流通A股,9
35,2018/12/31,南通坤德投资有限公司,75345534,1,5.57,流通A股,3
35,2018/12/31,华宝投资有限公司,15151515,3,1.12,流通A股,8
35,2018/12/31,汇安基金-中信银行-长安国际信托股份有限公司,21297016,3,1.58,流通A股,7
35,2018/12/31,贵州铁路发展基金管理有限公司-贵州铁路人保壹期壹号股权投资基金中心(有限合伙),15000000,3,1.11,流通A股,10
35,2018/12/31,民生加银基金-民生银行-民生加银资产管理有限公司,44709530,3,3.31,流通A股,4
35,2018/12/31,建信基金-民生银行-民生加银资产管理有限公司,41582494,3,3.08,流通A股,5
36,2018/12/31,华联发展集团有限公司,379129046,3,33.21,流通A股,1
36,2018/12/31,香港中央结算有限公司,36431959,3,3.19,流通A股,2
36,2018/12/31,于平,23440061,3,2.05,流通A股,3
36,2018/12/31,朱武广,7682240,3,0.67,流通A股,4
36,2018/12/31,中国银行股份有限公司-华宝标普中国A股红利机会指数证券投资基金(LOF),5737866,3,0.5,流通A股,5
36,2018/12/31,冯书通,5600145,3,0.49,流通A股,6
36,2018/12/31,童建兵,5197320,3,0.46,流通A股,7
36,2018/12/31,柳州佳力房地产开发有限责任公司,4908400,3,0.43,流通A股,8
36,2018/12/31,李广思,4069848,3,0.36,流通A股,9
36,2018/12/31,王志丰,3670800,3,0.32,流通A股,10
37,2018/12/31,香港南海洋行(国际)有限公司,92123248,3,15.28,流通B股,1
37,2018/12/31,深圳广聚实业有限公司,73666824,3,12.22,流通A股,2
37,2018/12/31,深圳市能源集团有限公司,65106130,3,10.8,流通A股,3
37,2018/12/31,BOCI SECURITIES LIMITED,8640627,3,1.43,流通B股,4
37,2018/12/31,曾颖,7484000,3,1.24,流通B股,5
37,2018/12/31,招商证券香港有限公司,5834669,3,0.97,流通B股,6
37,2018/12/31,美颐投资置业有限公司,4616000,3,0.77,流通A股,7
37,2018/12/31,刘芳,4035773,3,0.67,"流通A股,流通B股",8
37,2018/12/31,李宝琴,3972451,3,0.66,"流通A股,流通B股",9
37,2018/12/31,陈芹,3926894,3,0.65,流通A股,10
38,2018/12/31,姜剑,112000000,1,21.42,境内自然人持有股份,1
38,2018/12/31,朱兰英,104305955,1,19.95,"境内自然人持有股份,流通A股",2
38,2018/12/31,青岛亚星实业有限公司,70955745,1,13.57,流通A股,3
38,2018/12/31,夏东明,38728696,1,7.41,境内自然人持有股份,4
38,2018/12/31,曹林芳,34879526,1,6.67,"境内自然人持有股份,流通A股",5
38,2018/12/31,方正延中传媒有限公司,12419440,1,2.38,境内法人持有股份,6
38,2018/12/31,邓建宇,7835454,1,1.5,境内自然人持有股份,7
38,2018/12/31,孝昌和泰兴业投资中心(有限合伙),7835454,1,1.5,境内法人持有股份,8
38,2018/12/31,罗承,6155253,3,1.18,"境内自然人持有股份,流通A股",9
38,2018/12/31,修涞贵,5994123,3,1.15,境内自然人持有股份,10
39,2018/12/31,香港中央结算(代理人)有限公司,1731261346,3,58,"流通H股,流通A股",1
39,2018/12/31,中远集装箱工业有限公司,432171843,3,14.48,流通A股,2
39,2018/12/31,中国证券金融股份有限公司,70799672,3,2.37,流通A股,3
39,2018/12/31,中央汇金资产管理有限责任公司,37993800,3,1.27,流通A股,4
39,2018/12/31,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,9437003,3,0.32,流通A股,5
39,2018/12/31,中欧基金-农业银行-中欧中证金融资产管理计划,9252400,3,0.31,流通A股,6
39,2018/12/31,工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划,9211800,3,0.31,流通A股,7
39,2018/12/31,大成基金-农业银行-大成中证金融资产管理计划,9150300,3,0.31,流通A股,8
39,2018/12/31,银华基金-农业银行-银华中证金融资产管理计划,9094100,3,0.3,流通A股,9
39,2018/12/31,易方达基金-农业银行-易方达中证金融资产管理计划,9035599,3,0.3,流通A股,10
40,2018/12/31,东旭集团有限公司,579682614,1,38.99,"境内法人持有股份,流通A股",1
40,2018/12/31,国泓资产-宁波银行-西藏信托-鼎证47号单一资金信托,60027402,3,4.04,流通A股,2
40,2018/12/31,海富通基金-宁波银行-民生信托-中国民生信托·至信167号宝安定增集合资金信托计划,57868866,3,3.89,流通A股,3
40,2018/12/31,泰达宏利基金-招商银行-国民信托-国民信托·证通8号单一资金信托计划,50088206,3,3.37,流通A股,4
40,2018/12/31,前海开源基金-浦发银行-国民信托-国民信托·证通7号单一资金信托,49229701,3,3.31,流通A股,5
40,2018/12/31,安信基金-浦发银行-陆家嘴国际信托-汇赢3号集合资金信托计划,44735701,3,3.01,流通A股,6
40,2018/12/31,中海信托股份有限公司-中海信托-东旭蓝天员工持股计划集合资金信托,37990701,3,2.56,流通A股,7
40,2018/12/31,新东吴优胜-广发银行-重庆国际信托股份有限公司,36608874,3,2.46,流通A股,8
